,nspace,mu_expec,dt_expec,mu_pos,dt_pos,chi_r,chi_g,chi_i
0,0.2,0.4477611940298508,50.0321,0.9953881388645311,21.17526574768498,229.04025821031777,243.14084763632536,131.65477644978145
1,0.8,0.4477611940298508,50.0321,0.8717765086107448,25.33486781823866,668905876.3127857,359435855.02040553,1576964929.099831
2,0.9,0.4477611940298508,50.0321,0.8714369665175475,31.1224691530595,227861733.34383518,116031254.62564006,288668326.1911561
3,1.0,0.4477611940298508,50.0321,0.9954825384968294,21.241550440117923,229.12823898808202,244.81003761618473,131.76755087987007
4,3.0,0.4477611940298508,50.0321,0.9957351822411474,21.309438972693314,229.1609469971316,246.34837292103393,131.90274485464408
5,10.0,0.4477611940298508,50.0321,0.8735786410531353,21.93326315598752,417237052430.2672,128575059011.47987,676739660893.8823
6,20.0,0.4477611940298508,50.0321,0.9958450949085816,21.470807041689625,229.63462727683023,249.5398519808132,132.29969905223334
7,30.0,0.4477611940298508,50.0321,0.9957826240526629,21.503063745257467,229.73309515528308,250.33092403052774,132.44623732427814
8,60.0,0.4477611940298508,50.0321,0.9959687909048861,21.585617837907506,230.03833856284433,251.23309086113107,132.71947554883528
9,90.0,0.4477611940298508,50.0321,0.9959942402130144,21.62665272975957,230.28517562041318,251.6461296650543,132.91952822600413
